type,category,date,title,review,star
SK매직 MWO-20MC9,별점,20210702,저희 가족이 쓰기 딱 좋은 사이즈에요 큰 전자렌지는 하나 있어서 큰건 다용도실로 가고 작은건 주방에 뒀더니 보기좋고 공간절약되고~ 잘쓰겠습니다!,저희 가족이 쓰기 딱 좋은 사이즈에요 큰 전자렌지는 하나 있어서 큰건 다용도실로 가고 작은건 주방에 뒀더니 보기좋고 공간절약되고~ 잘쓰겠습니다!,평점5
SK매직 MWO-20MC9,별점,20210720,가격 만큼 단순한 기능에 아담 사아즈,가격 만큼 단순한 기능에 아담 사아즈,평점5
SK매직 MWO-20MC9,별점,20210607,생각보다 작긴하지만 가성비 최고에요^^,생각보다 작긴하지만 가성비 최고에요^^,평점5
SK매직 MWO-20MC9,별점,20210219,사무실에서 쓰려고 구매했어요.디자인은 말할 것도 없고 용량도 편의점 도시락 데워먹을 수 있는 크기라 좋습니다.,"사무실에서 쓰려고 구매했어요.
디자인은 말할 것도 없고 용량도 편의점 도시락 데워먹을 수 있는 크기라 좋습니다.",평점4
SK매직 MWO-20MC9,별점,20210607,사무실에서 가끔씩 사용하는용으로는 아주 좋은것 같아요.소리가 조금 크게 나지만 가성비 생각하면 만족합니다.,"사무실에서 가끔씩 사용하는용으로는 아주 좋은것 같아요.
소리가 조금 크게 나지만 가성비 생각하면 만족합니다.",평점5
SK매직 MWO-20MC9,별점,20210906,가성비 짱? 너무너무 좋아요 감사하게 잘쓰겠습니다,"가성비 짱? 너무너무 좋아요
감사하게 잘쓰겠습니다",평점5
SK매직 MWO-20MC9,별점,20210522,크기 적당하고 냉동식품 데우는 용도로 쓰는데 마음에들어요,크기 적당하고 냉동식품 데우는 용도로 쓰는데 마음에들어요,평점5
SK매직 MWO-20MC9,별점,20210601,배송빠르고 깔끔하고 사이즈 성능 모두 마음에 듭니다.,배송빠르고 깔끔하고 사이즈 성능 모두 마음에 듭니다.,평점5
SK매직 MWO-20MC9,별점,20210531,가격대비 성능도 괜찮고 디자인도 마음에 드네요,가격대비 성능도 괜찮고 디자인도 마음에 드네요,평점4
SK매직 MWO-20MC9,별점,20211008,가격저렴하게 잘 샀습니다.,가격저렴하게 잘 샀습니다.,평점5
SK매직 MWO-20MC9,별점,20210930,작동 잘되고 좋아요,작동 잘되고 좋아요,평점5
SK매직 MWO-20MC9,별점,20210126,배송은 불만족입니다 ㅜ 박스 상태가 파손됬어요,배송은 불만족입니다 ㅜ 박스 상태가 파손됬어요,평점4
SK매직 MWO-20MC9,별점,20210904,빠른 배송 가격대비 너무 좋아요,빠른 배송 가격대비 너무 좋아요,평점5
SK매직 MWO-20MC9,별점,20210927,전에 다른 모델 4년정도 쓰고 고장이 나서 주문해서 사용중입니다ㅎ 고장 안나고 잘 쓸려고 합니다.,"전에 다른 모델 4년정도 쓰고 고장이 나서 주문해서
사용중입니다ㅎ 고장 안나고 잘 쓸려고 합니다.",평점4
SK매직 MWO-20MC9,별점,20210603,빠른배송 고품격스타일,빠른배송 고품격스타일,평점5
